ATDNNR,Country,Subdivision,Site,PlotCode,Altitude,Latitude,Longitude,PlotSize,PlotType,DBHmin,Owner/contact
29,Suriname,Sipaliwini,Nassau Mts 1,NM_01P,,4.78,-54.62,1,single,10,"Hans ter Steege, Olaf Bánki"
30,Suriname,Sipaliwini,Nassau Mts 2,NM_02P,,4.82,-54.61,0.55,single,10,"Hans ter Steege, Olaf Bánki"
31,Suriname,Sipaliwini,Nassau Mts 3,NM_03P,,4.82,-54.6,1,single,10,"Hans ter Steege, Olaf Bánki"
32,Suriname,Sipaliwini,Nassau Mts 4,NM_04L,,4.93,-54.52,1,single,10,"Hans ter Steege, Olaf Bánki"
33,Suriname,Sipaliwini,Nassau Mts 5,NM_05L,,4.93,-54.52,1,single,10,"Hans ter Steege, Olaf Bánki"
34,Suriname,Sipaliwini,Nassau Mts 6,NM_06P,,4.83,-54.61,1,single,10,"Hans ter Steege, Olaf Bánki"
38,Bolivia,Santa Cruz,Acuario AC1,ACU_01,247,-15.25,-61.24,1,single,10,Tim Killeen
39,Bolivia,Santa Cruz,Acuario AC2,ACU_02,300,-15.25,-61.24,1,single,10,Tim Killeen
40,Bolivia,Santa Cruz,Bosque Continuo BC1,NKC_01,,-14.31,-60.54,1,single,10,Tim Killeen
41,Bolivia,Santa Cruz,Bosque Continuo BC2,NKC_02,,-14.29,-60.53,1,single,10,Tim Killeen
42,Bolivia,Santa Cruz,Cerro Pelao 1,CRP_01,350,-14.54,-61.5,1,single,10,Tim Killeen
43,Bolivia,Santa Cruz,Cerro Pelao 2,CRP_02,350,-14.54,-61.5,1,single,10,Tim Killeen
44,Bolivia,Santa Cruz,Chore CH1,CHO_01,170,-14.39,-61.15,1,single,10,Tim Killeen
45,Bolivia,Santa Cruz,Chore CH2,CHO_02,170,-14.35,-61.16,1,single,10,Tim Killeen
46,Bolivia,Santa Cruz,Enano EN1,NKE_01,550,-13.64,-60.89,1,single,10,Tim Killeen
47,Bolivia,Santa Cruz,Enano EN2,NKE_02,550,-13.64,-60.89,1,single,10,Tim Killeen
48,Bolivia,Santa Cruz,Flor de Oro FOb,FOb,,-13.57,-61.02,1,single,10,Tim Killeen
49,Bolivia,Santa Cruz,Huanchaca I H1-1,HCC_11,550,-13.91,-60.82,1,single,10,Tim Killeen
50,Bolivia,Santa Cruz,Huanchaca I H1-2,HCC_12,550,-13.91,-60.82,1,single,10,Tim Killeen
51,Bolivia,Santa Cruz,"Huanchaca Dos, plot1",HCC_21,729,-13.89,-60.73,1,single,10,"Luzmila Arroyo, Oliver Phillips"
52,Bolivia,Santa Cruz,"Huanchaca Dos, plot2",HCC_22,747,-13.88,-60.73,1,single,10,"Luzmila Arroyo, Oliver Phillips"
53,Bolivia,Santa Cruz,Isla IH2-3,HCC_23,809,-14.56,-60.75,1,single,10,Tim Killeen
54,Bolivia,Santa Cruz,Isla IH2-4,HCC_24,735,-14.57,-60.75,1,single,10,Tim Killeen
55,Bolivia,Santa Cruz,Las Gamas LG-b,NKG_01,,-14.8,-60.39,1,single,10,Tim Killeen
56,Bolivia,Santa Cruz,Las Torres LT-1,NKT_01,300,-13.65,-60.83,1,single,10,Tim Killeen
57,Bolivia,Santa Cruz,Las Torres LT-2,NKT_02,300,-13.65,-60.83,1,single,10,Tim Killeen
58,Bolivia,Santa Cruz,Las Torres LT3,NKT_03,,-13.66,-60.82,1,single,10,Tim Killeen
59,Bolivia,Santa Cruz,"Las Londras, plot 1",LSL_01,189,-14.4,-61.14,1,single,10,Tim Killeen
60,Bolivia,Santa Cruz,"Las Londras, plot 2",LSL_02,190,-14.4,-61.14,1,single,10,Tim Killeen
61,Bolivia,Santa Cruz,Los Fierros Bosque I,LFB_01,245,-14.62,-60.87,1,single,10,Tim Killeen
62,Bolivia,Santa Cruz,Los Fierros Bosque II,LFB_02,227,-14.61,-60.87,1,single,10,Tim Killeen
63,Bolivia,Santa Cruz,Monte Cristo CR1,NKM_01,200,-14.64,-61.16,1,single,10,Tim Killeen
64,Bolivia,Santa Cruz,Monte Cristo CR2,NKM_02,200,-14.71,-61.15,1,single,10,Tim Killeen
65,Bolivia,Santa Cruz,Monte Verde MV1,NKV_01,,-14.94,-61.13,1,single,10,Tim Killeen
66,Bolivia,Santa Cruz,San Roque SR1,SRq_01,,-15,-61.22,1,single,10,Tim Killeen
68,Brazil,Pará,Porto Trombetas,TROM_01,,-1.47,-56.38,1,single,10,Rafael Salomão
70,Brazil,Pará,Porto Trombetas,TROM_02,,-1.47,-56.38,1,single,10,Rafael Salomão
74,Colombia,Amazonas,PNN Chiribiquete 1,CHIRB_01,,0.07,-72.45,1,single,10,"Patricio von Hildebrand, Juan Fernando Phillips"
75,Colombia,Amazonas,PNN Chiribiquete 2,CHIRB_02,,0.07,-72.45,1,single,10,"Patricio von Hildebrand, Juan Fernando Phillips"
76,Colombia,Amazonas,PNN Chiribiquete 3,CHIRB_03,,0.07,-72.45,1,single,10,"Patricio von Hildebrand, Juan Fernando Phillips"
77,Colombia,Amazonas,PNN Chiribiquete 4,CHIRB_04,,0.07,-72.45,1,single,10,"Patricio von Hildebrand, Juan Fernando Phillips"
78,Colombia,Amazonas,PNN Chiribiquete 5,CHIRB_05,,0.07,-72.45,1,single,10,"Patricio von Hildebrand, Juan Fernando Phillips"
82,Ecuador,Sucumbios,Yuturi,YUTURI,,-0.53,-76.05,1,single,10,"Juan Ernesto Guevara, Hugo Mogollón, Roosevelt García, Nigel Pitman"
83,Ecuador,Sucumbios,Zancudo,ZANCUDO,,-0.63,-75.38,1,single,10,"Juan Ernesto Guevara, Hugo Mogollón, Roosevelt García, Nigel Pitman"
84,French Guiana,Saint Elie,"Montagne Plomb, plot 1",MPB1,,5,-52.93,1,single,10,"Daniel Sabatier, Jean-François Molino"
85,French Guiana,Saint Elie,"Montagne Plomb, plot 2",MPB2,,5.01,-52.93,1,single,10,"Daniel Sabatier, Jean-François Molino"
86,French Guiana,Sinnamary,"Paracou, dispositif expérimental, 1",PAR1,,5.27,-52.94,0.5,single,10,"Daniel Sabatier, Jean-François Molino"
87,French Guiana,Sinnamary,"Paracou, dispositif expérimental, 11",PAR11,,5.26,-52.93,0.5,single,10,"Daniel Sabatier, Jean-François Molino"
88,French Guiana,Sinnamary,"Paracou, dispositif expérimental, 6",PAR6,,5.27,-52.93,0.5,single,10,"Daniel Sabatier, Jean-François Molino"
89,Guyana,Upper Demerara-Berbice,Mapenna savanna LB Corantyne,MAPSAV,,5.35,-57.32,0.74,single,10,D.B. Fanshawe
90,Guyana,Upper Demerara-Berbice,Charabaru 1,CHBR_01,,4.95,-58.36,1,single,10,"Hans ter Steege, Olaf Bánki"
91,Guyana,Upper Demerara-Berbice,Charabaru 2,CHBR_02,,4.95,-58.35,1,single,10,"Hans ter Steege, Olaf Bánki"
92,Guyana,Upper Demerara-Berbice,Charabaru 3,CHBR_03,,4.95,-58.37,1,single,10,"Hans ter Steege, Olaf Bánki"
93,Guyana,Upper Demerara-Berbice,Charabaru 4,CHBR_04,,4.92,-58.35,1,single,10,"Hans ter Steege, Olaf Bánki"
94,Guyana,Cuyuni-Mazaruni,"107 M BP road, Esch-Lic Ass. Dycimbe Fac.",BP107M,,5.49,-58.76,1.486,single,10,D.B. Fanshawe
95,Guyana,Cuyuni-Mazaruni,90 M BP road,BP90M,,5.55,-58.74,1.486,single,10,D.B. Fanshawe
96,Guyana,Upper Takutu-Upper Essequibo,Simuni Ck. RB Rupununi,SIM_CK,,3.77,-59.28,1.08,single,10,D.B. Fanshawe
98,Peru,Loreto,Apayacu,APAYACU,,-3.12,-72.71,1,single,10,Nigel Pitman
99,Peru,Loreto,Boca Curaray,BOCA_CUR,,-2.38,-74.09,1,single,10,"Nigel Pitman, Hugo Mogollón, Percy Núñez Vargas, Roosevelt García, Juan Ernesto Guevara"
100,Peru,Loreto,Buenavista terra firme,BVI_TF,,-4.83,-72.39,1,single,10,"Nigel Pitman, Roosevelt García, Corine Vriesendorp, Hamilton Beltrán"
101,Peru,Loreto,Curacinha,CURAC,,-5.05,-72.73,1,single,10,"Nigel Pitman, Roosevelt García, Corine Vriesendorp, Hamilton Beltrán"
102,Peru,Loreto,Ingano Llacta,ING_LL,,-1.87,-74.67,1,single,10,"Nigel Pitman, Hugo Mogollón, Percy Núñez Vargas, Roosevelt García, Juan Ernesto Guevara"
103,Peru,Loreto,Maronal,MARONAL,,-2.97,-72.13,1,single,10,"Nigel Pitman,  Italo Mesones, Marcos Ríos Paredes"
104,Peru,Loreto,PV7 polvorín,PV7_P,,-0.88,-75.21,1,single,10,"Nigel Pitman, Hugo Mogollón, Percy Núñez Vargas, Roosevelt García, Juan Ernesto Guevara"
105,Peru,Loreto,PV7 terrace,PV7_T,,-0.88,-75.21,1,single,10,"Nigel Pitman, Hugo Mogollón, Percy Núñez Vargas, Roosevelt García, Juan Ernesto Guevara"
106,Peru,Loreto,Quebrada Blanco 1,QBL_01,,-4.36,-73.16,1,single,10,"Nigel Pitman, Marcos Ríos Paredes, Nállarett Dávila"
107,Peru,Loreto,Quebrada Blanco 2,QBL_02,,-4.36,-73.16,1,single,10,"Nigel Pitman, Marcos Ríos Paredes, Nállarett Dávila"
108,Peru,Loreto,Santa María,S_MARIA,,-1.42,-74.62,1,single,10,"Nigel Pitman, Hugo Mogollón, Percy Núñez Vargas, Roosevelt García, Juan Ernesto Guevara"
109,Peru,Loreto,Vencedores,VENCED,,-1.14,-75.02,1,single,10,"Nigel Pitman, Hugo Mogollón, Percy Núñez Vargas, Roosevelt García, Juan Ernesto Guevara"
110,Peru,Loreto,Yaguas,YAGUAS,,-2.86,-71.42,1,single,10,"Nigel Pitman, Italo Mesones, Marcos Ríos Paredes"
111,Peru,Ucayali,Caobal floodplain,CAO_FL,,-10.42,-71.22,1,single,10,"John Terborgh, Percy Núñez Vargas"
112,Peru,Ucayali,Caobal terra firme,CAO_TF,,-10.39,-71.22,1,single,10,"Nigel Pitman, Percy Núñez Vargas"
113,Peru,Ucayali,Colombiana,COL_TF,,-10.07,-71.1,1,single,10,"Nigel Pitman, John Terborgh, Percy Núñez Vargas"
114,Peru,Ucayali,Puerto Esperanza,PRT_ESP,,-9.78,-70.68,1,single,10,Nigel Pitman
115,Peru,Ucayali,Tres Bolas,TRBOLAS,,-9.69,-70.65,1,single,10,"John Terborgh, Percy Núñez Vargas"
116,Suriname,Brokopondo,Brownsberg 1,BB_01P,,4.93,-55.22,1,single,10,"Hans ter Steege, Olaf Bánki"
117,Suriname,Brokopondo,Brownsberg 2,BB_02P,,4.93,-55.19,1,single,10,"Hans ter Steege, Olaf Bánki"
118,Suriname,Brokopondo,Brownsberg 3,BB_03P,,4.95,-55.19,1,single,10,"Hans ter Steege, Olaf Bánki"
119,Suriname,Brokopondo,Brownsberg 4,BB_04M,,4.97,-55.18,1,single,10,"Hans ter Steege, Olaf Bánki"
120,Suriname,Brokopondo,Brownsberg 5,BB_05L,,4.99,-55.2,1,single,10,"Hans ter Steege, Olaf Bánki"
121,Suriname,Brokopondo,Brownsberg 6,BB_06M,,4.94,-55.18,1,single,10,"Hans ter Steege, Olaf Bánki"
122,Suriname,Brokopondo,Brownsberg 7,BB_07L,,4.92,-55.13,1,single,10,"Hans ter Steege, Olaf Bánki"
123,Suriname,Brokopondo,Brownsberg 8,BB_08L,,4.93,-55.14,1,single,10,"Hans ter Steege, Olaf Bánki"
124,Venezuela,Bolivar,Corozal,CORO_01,,6.92,-66.5,1,single,10,Brian Boom
126,Bolivia,La Paz,"Parque Nacional-ANMI Madidi. Arroyo Rudidi, sobre el río Tuichi.",PP_Tuichi_4,,-14.36,-67.96,1,single,10,"Sebastián Tello, Alfredo Fuentes, Alejandro Araujo-Murakami"
127,Brazil,Amazonas,Lago Janauari,LAGOJAN,,-3.33,-60.28,0.5,single,10,Iêda Amaral
128,Colombia,Amazonas,Lorena E02,LOR_01,94,-3.05,-69.98,1,single,10,"Agustín Rudas, Adriana Prieto"
129,Colombia,Amazonas,Lorena U02,LOR_02,93,-3.05,-70,1,single,10,"Agustín Rudas, Adriana Prieto"
130,Colombia,Amazonas,Pudre E01,AGP_01,120,-3.72,-70.3,1,single,10,"Agustín Rudas, Adriana Prieto"
131,Colombia,Amazonas,Pudre U01,AGP_02,120,-3.72,-70.29,1,single,10,"Agustín Rudas, Adriana Prieto"
132,Ecuador,Orellana,Chucula,CHUCULA,,-0.63,-75.24,1,single,10,"Hugo Mogollón, Juan Ernesto Guevara"
133,Ecuador,Orellana,ECY,ECY_01,,-0.63,-76.5,1,single,10,Salgado Peñaherrera
134,Ecuador,Orellana,Km 21,KM21,,-0.55,-76.52,1,single,10,"Hugo Mogollón, Juan Ernesto Guevara"
138,Ecuador,Orellana,Pilimosca,PILIMOSCA,,-0.56,-75.24,1,single,10,"Hugo Mogollón, Juan Ernesto Guevara"
139,Ecuador,Orellana,Saladero,SALADERO,,-0.81,-76.4,1,single,10,"Hugo Mogollón, Juan Ernesto Guevara"
140,Ecuador,Orellana,Tigrillo,TIGRILLO,,-0.66,-76.36,1,single,10,"Hugo Mogollón, Juan Ernesto Guevara"
146,Ecuador,Sucumbíos,Yarina,YARINA,,-0.56,-75.23,1,single,10,"Hugo Mogollón, Juan Ernesto Guevara"
147,French Guiana,Sinnamary,Piste de St Elie 2B,PSE2B,,5.3,-53.06,1,single,10,"Daniel Sabatier, Jean-François Molino"
148,French Guiana,Sinnamary,Piste de St Elie 3B,PSE3B,,5.3,-53.06,1,single,10,"Daniel Sabatier, Jean-François Molino"
149,French Guiana,Sinnamary,Piste de St Elie P,PSEP,,5.29,-53.06,1,single,10,"Daniel Sabatier, Jean-François Molino"
150,French Guiana,Sinnamary,Piste de St Elie R,PSER,,5.29,-53.05,1,single,10,"Daniel Sabatier, Jean-François Molino"
151,Peru,Loreto,Nauta,NAUTA,,-4.45,-73.62,1,single,10,"Nigel Pitman, Elvis Valderrama, Manuel Ahuite, Juan Ernesto Guevara"
152,Peru,Loreto,Orosa,OROSA,,-3.62,-72.24,1,single,10,"Nigel Pitman, Marcos Ríos Paredes, Nállarett Dávila, Juan Ernesto Guevara"
153,Peru,Loreto,San José,S_JOSE,,-2.51,-73.66,1,single,10,"Nigel Pitman, Marcos Ríos Paredes, Nállarett Dávila, Juan Ernesto Guevara"
154,Peru,Loreto,Santa Teresa,S_TERESA,,-2.83,-73.56,1,single,10,"Nigel Pitman, Marcos Ríos Paredes, Nállarett Dávila, Juan Ernesto Guevara"
155,Peru,Madre de Dios,Blanquillo Collpa,BL_COLL,,-12.45,-70.7,2,single,10,"John Terborgh, Percy Núñez Vargas"
156,Peru,Madre de Dios,Cocha Blanquillo,CO_BLANQ,,-12.45,-70.7,2,single,10,"John Terborgh, Percy Núñez Vargas"
157,Peru,Madre de Dios,Cocha Sandoval,CO_SAND,,-12.61,-69.05,0.7,single,10,"John Terborgh, Percy Núñez Vargas"
158,Peru,Madre de Dios,Rio de las Piedras,RPI_01,260,-12.36,-69.23,1,single,10,"John Terborgh, Percy Núñez Vargas"
159,Peru,Madre de Dios,Rio Pariamanu,RIO_PARI,,-12.39,-69.36,1.06,single,10,"John Terborgh, Percy Núñez Vargas"
160,Peru,Madre de Dios,Rio Tahuamanu,RIO_TAH_01,,-11.38,-69.67,1,single,10,"John Terborgh, Percy Núñez Vargas"
161,Peru,Madre de Dios,Rio Tahuamanu,RIO_TAH_02,,-11.38,-69.67,1.06,single,10,"John Terborgh, Percy Núñez Vargas"
168,Brazil,Mato Grosso,Upper Xingu 1,UPXIN_01,,-13.2,-53.33,1,single,10,Natália Macedo Ivanauskas
169,Brazil,Mato Grosso,Upper Xingu 2,UPXIN_02,,-13.17,-53.45,1,single,10,Natália Macedo Ivanauskas
170,Brazil,Mato Grosso,Upper Xingu 3,UPXIN_03,,-13.1,-53.38,1,single,10,Natália Macedo Ivanauskas
171,Brazil,Amazonas,Anavilhanas archipelago ( SLM - Lago do Miuá),RN_AN4,,-2.74,-60.76,0.27,single,10,Maite Piedade
172,Brazil,Amazonas,Anavilhanas archipelago ( SLP - Lago do Prato),RN_AN5,,-2.72,-60.75,0.23,single,10,Maite Piedade
174,Brazil,Amazonas,Ducke Campinarana,DUCKE_WS,,-2.94,-59.94,0.5,single,10,"Hans ter Steege, Carolina Castilho"
175,Brazil,Amazonas,Ducke LO1T0,LO1T0,,-2.93,-59.97,0.5,single,10,"Bill Magnusson, Carolina Castilho"
176,Brazil,Amazonas,Ducke LO1T1000,LO1T1000,,-2.93,-59.96,0.5,single,10,"Bill Magnusson, Carolina Castilho"
177,Brazil,Amazonas,Ducke LO1T2000,LO1T2000,,-2.92,-59.95,0.5,single,10,"Bill Magnusson, Carolina Castilho"
178,Brazil,Amazonas,Ducke LO1T3000,LO1T3000,,-2.92,-59.94,0.5,single,10,"Bill Magnusson, Carolina Castilho"
179,Brazil,Amazonas,Ducke LO1T4000,LO1T4000,,-2.92,-59.93,0.5,single,10,"Bill Magnusson, Carolina Castilho"
180,Brazil,Amazonas,Ducke LO1T5500,LO1T5500,,-2.92,-59.92,0.5,single,10,"Bill Magnusson, Carolina Castilho"
181,Brazil,Amazonas,Ducke LO1T6500,LO1T6500,,-2.92,-59.91,0.5,single,10,"Bill Magnusson, Carolina Castilho"
182,Brazil,Amazonas,Ducke LO1T7500,LO1T7500,,-2.92,-59.9,0.5,single,10,"Bill Magnusson, Carolina Castilho"
183,Brazil,Amazonas,Ducke LO2T0,LO2T0,,-2.94,-59.97,0.5,single,10,"Bill Magnusson, Carolina Castilho"
184,Brazil,Amazonas,Ducke LO2T1000,LO2T1000,,-2.94,-59.96,0.5,single,10,"Bill Magnusson, Carolina Castilho"
185,Brazil,Amazonas,Ducke LO2T2000,LO2T2000,,-2.93,-59.95,0.5,single,10,"Bill Magnusson, Carolina Castilho"
186,Brazil,Amazonas,Ducke LO2T3000,LO2T3000,,-2.93,-59.94,0.5,single,10,"Bill Magnusson, Carolina Castilho"
187,Brazil,Amazonas,Ducke LO2T4500,LO2T4500,,-2.93,-59.93,0.5,single,10,"Bill Magnusson, Carolina Castilho"
188,Brazil,Amazonas,Ducke LO2T5500,LO2T5500,,-2.93,-59.92,0.5,single,10,"Bill Magnusson, Carolina Castilho"
189,Brazil,Amazonas,Ducke LO2T6500,LO2T6500,,-2.93,-59.91,0.5,single,10,"Bill Magnusson, Carolina Castilho"
190,Brazil,Amazonas,Ducke LO2T7500,LO2T7500,,-2.93,-59.9,0.5,single,10,"Bill Magnusson, Carolina Castilho"
191,Brazil,Amazonas,Ducke LO3T1500,LO3T1500,,-2.94,-59.96,0.5,single,10,"Bill Magnusson, Carolina Castilho"
192,Brazil,Amazonas,Ducke LO3T2500,LO3T2500,,-2.94,-59.95,0.5,single,10,"Bill Magnusson, Carolina Castilho"
193,Brazil,Amazonas,Ducke LO3T3500,LO3T3500,,-2.94,-59.94,0.5,single,10,"Bill Magnusson, Carolina Castilho"
194,Brazil,Amazonas,Ducke LO3T4500,LO3T4500,,-2.94,-59.94,0.5,single,10,"Bill Magnusson, Carolina Castilho"
195,Brazil,Amazonas,Ducke LO3T500,LO3T500,,-2.94,-59.93,0.5,single,10,"Bill Magnusson, Carolina Castilho"
196,Brazil,Amazonas,Ducke LO3T5500,LO3T5500,,-2.94,-59.92,0.5,single,10,"Bill Magnusson, Carolina Castilho"
197,Brazil,Amazonas,Ducke LO3T6500,LO3T6500,,-2.94,-59.91,0.5,single,10,"Bill Magnusson, Carolina Castilho"
198,Brazil,Amazonas,Ducke LO3T7500,LO3T7500,,-2.94,-59.9,0.5,single,10,"Bill Magnusson, Carolina Castilho"
199,Brazil,Amazonas,Ducke LO4T1500,LO4T1500,,-2.95,-59.96,0.5,single,10,"Bill Magnusson, Carolina Castilho"
200,Brazil,Amazonas,Ducke LO4T2500,LO4T2500,,-2.95,-59.95,0.5,single,10,"Bill Magnusson, Carolina Castilho"
201,Brazil,Amazonas,Ducke LO4T3500,LO4T3500,,-2.95,-59.94,0.5,single,10,"Bill Magnusson, Carolina Castilho"
202,Brazil,Amazonas,Ducke LO4T4500,LO4T4500,,-2.95,-59.93,0.5,single,10,"Bill Magnusson, Carolina Castilho"
203,Brazil,Amazonas,Ducke LO4T500,LO4T500,,-2.95,-59.93,0.5,single,10,"Bill Magnusson, Carolina Castilho"
204,Brazil,Amazonas,Ducke LO4T5500,LO4T5500,,-2.95,-59.92,0.5,single,10,"Bill Magnusson, Carolina Castilho"
205,Brazil,Amazonas,Ducke LO4T6500,LO4T6500,,-2.95,-59.91,0.5,single,10,"Bill Magnusson, Carolina Castilho"
206,Brazil,Amazonas,Ducke LO4T7500,LO4T7500,,-2.94,-59.9,0.5,single,10,"Bill Magnusson, Carolina Castilho"
207,Brazil,Amazonas,Ducke LO5T1500,LO5T1500,,-2.96,-59.96,0.5,single,10,"Bill Magnusson, Carolina Castilho"
208,Brazil,Amazonas,Ducke LO5T2500,LO5T2500,,-2.96,-59.95,0.5,single,10,"Bill Magnusson, Carolina Castilho"
209,Brazil,Amazonas,Ducke LO5T3500,LO5T3500,,-2.96,-59.94,0.5,single,10,"Bill Magnusson, Carolina Castilho"
210,Brazil,Amazonas,Ducke LO5T4500,LO5T4500,,-2.96,-59.93,0.5,single,10,"Bill Magnusson, Carolina Castilho"
211,Brazil,Amazonas,Ducke LO5T500,LO5T500,,-2.96,-59.92,0.5,single,10,"Bill Magnusson, Carolina Castilho"
212,Brazil,Amazonas,Ducke LO5T5500,LO5T5500,,-2.96,-59.91,0.5,single,10,"Bill Magnusson, Carolina Castilho"
213,Brazil,Amazonas,Ducke LO5T6500,LO5T6500,,-2.95,-59.91,0.5,single,10,"Bill Magnusson, Carolina Castilho"
214,Brazil,Amazonas,Ducke LO5T7500,LO5T7500,,-2.95,-59.9,0.5,single,10,"Bill Magnusson, Carolina Castilho"
215,Brazil,Amazonas,Ducke LO6T1500,LO6T1500,,-2.97,-59.96,0.5,single,10,"Bill Magnusson, Carolina Castilho"
216,Brazil,Amazonas,Ducke LO6T2500,LO6T2500,,-2.97,-59.95,0.5,single,10,"Bill Magnusson, Carolina Castilho"
217,Brazil,Amazonas,Ducke LO6T3500,LO6T3500,,-2.97,-59.94,0.5,single,10,"Bill Magnusson, Carolina Castilho"
218,Brazil,Amazonas,Ducke LO6T4500,LO6T4500,,-2.97,-59.93,0.5,single,10,"Bill Magnusson, Carolina Castilho"
219,Brazil,Amazonas,Ducke LO6T500,LO6T500,,-2.97,-59.92,0.5,single,10,"Bill Magnusson, Carolina Castilho"
220,Brazil,Amazonas,Ducke LO6T5500,LO6T5500,,-2.96,-59.91,0.5,single,10,"Bill Magnusson, Carolina Castilho"
221,Brazil,Amazonas,Ducke LO6T6500,LO6T6500,,-2.96,-59.9,0.5,single,10,"Bill Magnusson, Carolina Castilho"
222,Brazil,Amazonas,Ducke LO6T7500,LO6T7500,,-2.96,-59.9,0.5,single,10,"Bill Magnusson, Carolina Castilho"
223,Brazil,Amazonas,Ducke LO7T1500,LO7T1500,,-2.98,-59.96,0.5,single,10,"Bill Magnusson, Carolina Castilho"
224,Brazil,Amazonas,Ducke LO7T2500,LO7T2500,,-2.98,-59.95,0.5,single,10,"Bill Magnusson, Carolina Castilho"
225,Brazil,Amazonas,Ducke LO7T3500,LO7T3500,,-2.98,-59.94,0.5,single,10,"Bill Magnusson, Carolina Castilho"
226,Brazil,Amazonas,Ducke LO7T4500,LO7T4500,,-2.98,-59.93,0.5,single,10,"Bill Magnusson, Carolina Castilho"
227,Brazil,Amazonas,Ducke LO7T500,LO7T500,,-2.97,-59.92,0.5,single,10,"Bill Magnusson, Carolina Castilho"
228,Brazil,Amazonas,Ducke LO7T5500,LO7T5500,,-2.97,-59.91,0.5,single,10,"Bill Magnusson, Carolina Castilho"
229,Brazil,Amazonas,Ducke LO7T6500,LO7T6500,,-2.97,-59.9,0.5,single,10,"Bill Magnusson, Carolina Castilho"
230,Brazil,Amazonas,Ducke LO7T7500,LO7T7500,,-2.97,-59.89,0.5,single,10,"Bill Magnusson, Carolina Castilho"
231,Brazil,Amazonas,Ducke LO8T1500,LO8T1500,,-2.99,-59.96,0.5,single,10,"Bill Magnusson, Carolina Castilho"
232,Brazil,Amazonas,Ducke LO8T2500,LO8T2500,,-2.99,-59.95,0.5,single,10,"Bill Magnusson, Carolina Castilho"
233,Brazil,Amazonas,Ducke LO8T3500,LO8T3500,,-2.99,-59.94,0.5,single,10,"Bill Magnusson, Carolina Castilho"
234,Brazil,Amazonas,Ducke LO8T4500,LO8T4500,,-2.98,-59.93,0.5,single,10,"Bill Magnusson, Carolina Castilho"
235,Brazil,Amazonas,Ducke LO8T500,LO8T500,,-2.98,-59.92,0.5,single,10,"Bill Magnusson, Carolina Castilho"
236,Brazil,Amazonas,Ducke LO8T5500,LO8T5500,,-2.98,-59.91,0.5,single,10,"Bill Magnusson, Carolina Castilho"
237,Brazil,Amazonas,Ducke LO8T6500,LO8T6500,,-2.98,-59.9,0.5,single,10,"Bill Magnusson, Carolina Castilho"
238,Brazil,Amazonas,Ducke LO8T7500,LO8T7500,,-2.98,-59.89,0.5,single,10,"Bill Magnusson, Carolina Castilho"
239,Brazil,Amazonas,Ducke LO9T1500,LO9T1500,,-3,-59.95,0.5,single,10,"Bill Magnusson, Carolina Castilho"
240,Brazil,Amazonas,Ducke LO9T2500,LO9T2500,,-3,-59.94,0.5,single,10,"Bill Magnusson, Carolina Castilho"
241,Brazil,Amazonas,Ducke LO9T3500,LO9T3500,,-3,-59.94,0.5,single,10,"Bill Magnusson, Carolina Castilho"
242,Brazil,Amazonas,Ducke LO9T4500,LO9T4500,,-2.99,-59.93,0.5,single,10,"Bill Magnusson, Carolina Castilho"
